id,field,research_question,literature_tension,why_care,primary_hypothesis,null,economic_mechanism,dependent_variable,explanatory_variable,identification,data,likely_sample,method,novelty_threat,contribution,identification_quality,data_feasibility,undergrad_feasibility,null_value
Q01,"Trend","Do directional and allocation components share a common structural break?","Direction versus scaling","Mechanism of decay","Common component break","No instability","Trend/scaling","Component returns","State/break","Factorial portfolios","Global futures","40 years; 50+ contracts","Panel break tests",HIGH,WEAK,WEAK,LOW,LOW,PASS
Q02,"Trend","Does volatility-normalized tick size explain post-electronification trend decay?","Microstructure decay","Market design","Small ticks weaken trends","No relation","Market impact","Trend return","Normalized tick size","Cross-contract heterogeneity","Intraday futures","1995+","Panel interaction",FATAL,NONE,MODERATE,BLOCKED,LOW,PASS
Q03,"Momentum/crisis","Do drawdown duration and rebound speed explain trend failure beyond volatility and correlation?","Crisis alpha versus rebound crashes","Crisis hedging interpretation","Path geometry adds explanatory power","No incremental relation","Delayed position adjustment","Predefined trend component return","Ex-ante path statistics","Externally fixed event/path definition","Public indexes/ETFs; upgrade futures","30+ years indexes","Event panel/local projection",MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,PASS
Q04,"Trend","Does sell-signal reversal differ with funding liquidity?","Continuation versus reversal","Limits-to-arbitrage mechanism","Tight liquidity magnifies reversal","No interaction","Funding constraints","Sell-leg next return","Public liquidity proxy","Predefined interaction","Futures plus FRED","30+ years","Panel regression",HIGH,WEAK,WEAK,LOW,LOW,PASS
Q05,"Volatility management","Does volatility scaling add value after matching leverage and financing?","Positive versus weak OOS evidence","Portfolio choice","Scaling benefit survives matching","No incremental value","Volatility timing","Utility/spanning residual","Scaling rule","Matched counterfactual","French factors/FRED","1926+","Spanning/HAC",HIGH,WEAK,MODERATE,HIGH,HIGH,PASS
Q06,"Empirical asset pricing","Do revised macroeconomic regime indicators overstate state dependence in factor and volatility-managed returns?","Revised versus real-time predictability","Information-set validity","Revised labels produce stronger interactions","Vintage choice has no effect","Data revision/hindsight","Factor-state interaction coefficient","Real-time versus latest vintage state","Same dates/model; vintage-only contrast","ALFRED/FRED; French factors","1960s+ depending vintage","Paired interaction/regression/bootstrap",MODERATE,STRONG,STRONG,HIGH,HIGH,PASS
Q07,"Bond predictability","Do nonlinear models recover bond predictability from real-time macro data?","Real-time null versus nonlinear recovery","Risk-premium forecasts","Nonlinearity restores predictability","No OOS gain","Weak nonlinear factors","Bond excess return","Real-time macro factors","Pseudo-OOS","ALFRED; Treasury returns","1980s+","Forecast comparison",FATAL,NONE,MODERATE,HIGH,MODERATE,PASS
Q08,"Anomaly robustness","Is post-publication anomaly decay explained by trading costs rather than learning?","Decay mechanisms conflict","Market efficiency","Costlier anomalies decay less","No relation","Arbitrage capital","Post-publication decay","Cost proxy","Cross-anomaly design","Open anomaly returns; CRSP upgrade","100+ anomalies","Panel/event study",HIGH,WEAK,WEAK,LOW,LOW,PASS
Q09,"Cross-sectional pricing","How sensitive is anomaly replication to microcap breakpoints?","Replication failures","External validity","Microcaps drive disagreement","No breakpoint effect","Limits to arbitrage","Anomaly return","Breakpoint convention","Same data alternate rule","CRSP required","1926+ stocks","Paired portfolio tests",HIGH,WEAK,MODERATE,LOW,LOW,PASS
Q10,"Implementation","Do close-to-close backtests overstate implementable factor timing?","Signal/execution mismatch","Research validity","Next-open lowers measured effects","No timing difference","Non-synchronous prices","Return difference","Execution convention","Matched signal dates","Intraday/open stock data","1993+","Paired tests",HIGH,WEAK,MODERATE,LOW,MODERATE,PASS
