citation,year,publication_status,journal,question,universe,sample,signal,directional_identified,allocation_identified,interaction_estimated,matched_leverage,matched_volatility,matched_universe,costs_controlled,temporal_stability_tested,structural_break_inference,oos_analysis,method,conclusion,exact_overlap,exact_difference,novelty_threat
"Kim, Tse & Wald, Time Series Momentum and Volatility Scaling",2016,"Peer reviewed","Journal of Financial Markets","Direction versus volatility scaling","55 global futures","1985-2013","12-month sign",Y,Y,N,Y,Y,Y,N,Y,N,Y,"Scaled/unscaled alpha and subperiod comparison","Scaling explains much reported alpha and recent performance weakens","Same central signal-versus-scaling distinction and temporal decay","No explicit joint interaction or formal component-break system","HIGH"
"Huang, Li, Wang & Zhou, Time Series Momentum: Is It There?",2020,"Peer reviewed","Journal of Financial Economics","Reliability of directional TSM predictability","Large futures panel","MOP-era and extensions","12-month sign",Y,N,N,N,Y,Y,N,Y,N,Y,"Asset/panel regressions and bootstrap","Directional predictability is weak; historical-mean rule is similar","Directly tests directional component and OOS reliability","Does not jointly estimate allocation instability","HIGH"
"Cederburg et al., On the Performance of Volatility-Managed Portfolios",2020,"Peer reviewed","Journal of Financial Economics","Stability of volatility-managed value","103 equity strategies","Long US samples","No trend signal",N,Y,N,Y,Y,Y,Y,Y,Y,Y,"Sharpe/spanning and structural-break tests","Managed portfolios lack systematic real-time improvement due to instability","Formal allocation instability and break inference","Not multi-asset trend direction/allocation joint design","HIGH"
"Goyal & Jegadeesh, Cross-Sectional and Time-Series Tests",2018,"Peer reviewed","Review of Financial Studies","Role of net long exposure in momentum","Stocks and international assets","Multiple","Past return",Y,Y,N,Y,Y,Y,N,Y,N,Y,"Matched TS/CS decomposition and spanning","Exposure and heterogeneous means explain key differences","Requires matched exposure before directional claims","Not direct temporal interaction stability","HIGH"
"Sepp & Lucic, The Science and Practice of Trend-Following Systems",2026,"Working paper","arXiv / SSRN","Analytical sources of trend P&L and costs","Liquid futures and simulations","Contemporary futures plus models","European; American; TSMOM systems",Y,Y,Y,Y,Y,Y,Y,N,N,Y,"Exact sample-path identity; spectral and closed-form analysis","Trend P&L decomposes into autocorrelation, squared drift, scaling and costs","Exact decomposition and component interaction mechanics","Does not primarily test empirical structural instability across long regimes","HIGH"
"Kurth, Eisler, Rej & Bouchaud, Is Trend Still Your Friend?",2026,"Working paper","arXiv","Why short-term trend decayed after 2009","About 100 liquid futures and CTA proxy","1995-2025","Multiple EWMA speeds",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,"Cross-sectional break characterization and mechanism tests","Decay concentrates in small-tick contracts after electronification","Direct performance decay, break, broad futures, mechanism and heterogeneity","Focuses microstructure/tick size rather than direction-allocation joint stability","HIGH"
"Liu & Papailias, Time Series Reversal in Trend-Following Strategies",2023,"Peer reviewed","European Financial Management","Continuation versus reversal by signal leg","55 futures","1985-2015","Formation-horizon trend",Y,N,N,N,Y,Y,N,Y,N,Y,"Buy/sell subportfolio and horizon tests","12-24 month reversal mainly from sell-signal losers","Directional failure and reversal channel","Not allocation component or joint stability","MEDIUM"
"Baltas & Kosowski, Trend-Following Risk-Parity and Correlations",2015,"Reviewed book chapter","Risk-Based and Factor Investing","Post-crisis allocation under changing correlations","Global futures","Includes 2009-2013","Trend",Y,Y,Y,Y,Y,Y,Y,Y,N,Y,"Regime and risk-parity comparisons","Correlation-aware weighting matters in extreme regimes","Allocation interaction and recent weakness","No formal broad structural-break inference","HIGH"
"Hood & Raughtigan, Volatility Targeting Is Trendy",2024,"Working paper","SSRN","Does trend explain volatility-targeting alpha?","Long equity history and 14 global equity-index futures","Long history","Implicit trend exposure",Y,Y,Y,Y,Y,Y,N,Y,N,Y,"Trend-controlled regressions and mechanical derivation","Volatility-targeting alpha mainly accrues to trend","Direct mechanical connection between trend and scaling","Not full multi-asset joint stability design","HIGH"
"Barroso & Santa-Clara, Momentum Has Its Moments",2015,"Peer reviewed","Journal of Financial Economics","Can volatility management mitigate momentum crashes?","US equity momentum","1927-2011","Cross-sectional momentum",Y,Y,Y,Y,Y,Y,Y,Y,N,Y,"Conditional risk model and managed portfolio tests","Volatility management reduces crashes","Signal-state-allocation relation and implementation","Cross-sectional rather than TSMOM; no joint break framework","MEDIUM"
