id,citation,journal_status,research_question,data,sample_period,assets,signal_definition,portfolio_construction,volatility_scaling,leverage_treatment,transaction_costs,statistical_methodology,main_result,mechanism,limitations,relation_to_candidate_1,novelty_reduction
L01,"Moskowitz, Ooi & Pedersen (2012), Time Series Momentum","Journal of Financial Economics, peer reviewed","Does own past return predict future return?","58 liquid futures and forwards","1985-2009","Equity indexes; bonds; currencies; commodities","Past-return sign; horizons 1-12 months","Diversified long/short futures","EWMA ex-ante volatility","Volatility-targeted notionals","Robustness only","Asset and pooled regressions; factor alpha","Continuation at 1-12 months and reversal later","Underreaction then delayed overreaction","Scaling and futures implementation confound raw direction","Canonical signal and portfolio benchmark; does not test component break interaction","PARTIAL"
L02,"Hurst, Ooi & Pedersen (2017), A Century of Evidence on Trend-Following Investing","Journal of Portfolio Management, peer reviewed","Is trend robust over a century?","Reconstructed 67-market history","1880-2016","Four futures-like asset classes","Multiple trend horizons","Diversified long/short trend","Risk scaled","Constant target risk","Approximate historical costs","Subperiod and macro-state comparisons","Positive long-run average across many eras","Persistent trends plus diversification","Reconstructed early data and changing implementability","Strong long-history benchmark but not matched component instability","PARTIAL"
L03,"Kim, Tse & Wald (2016), Time Series Momentum and Volatility Scaling","Journal of Financial Markets, peer reviewed","Does TSMOM alpha come from direction or scaling?","55 futures","1985-2013","Four futures sectors","12-month sign","Scaled and unscaled TSMOM and buy-and-hold","Explicit comparison","Matched scaled/unscaled portfolios","Limited","Alpha and subperiod comparisons","Much reported alpha is associated with volatility scaling","Positive unconditional returns plus risk parity","Does not jointly identify time-varying signal-allocation interaction","Closest decomposition paper","YES"
L04,"Goyal & Jegadeesh (2018), Cross-Sectional and Time-Series Tests of Return Predictability","Review of Financial Studies, peer reviewed","Why do TS and CS momentum tests differ?","Stocks and international asset classes","Multiple samples","Stocks and global asset classes","Past-return momentum","Matched TS and CS portfolios","Explicit risk scaling","Compares net exposure and leverage","Not central","Return decomposition and spanning comparisons","Net long exposure explains important differences","Positive mean returns and heterogeneous expected returns","Not a structural-break study","Shows exposure must be matched before claiming directional alpha","YES"
L05,"Huang, Li, Wang & Zhou (2020), Time Series Momentum: Is It There?","Journal of Financial Economics, peer reviewed","Is 12-month directional predictability statistically reliable?","Large futures cross-section","MOP-era plus extensions","Futures","12-month return predicts next month","TSMOM versus historical-mean rule","Volatility-scaled comparisons","Matched in portfolio tests","Not central","Asset regressions; parametric and nonparametric bootstrap","Asset-level and OOS predictability is weak","Historical mean rather than direction may drive profits","Inference remains debated","Direct attack on directional component","YES"
L06,"Moreira & Muir (2017), Volatility-Managed Portfolios","Journal of Finance, peer reviewed","Does inverse-volatility timing improve factor portfolios?","US factors and currency carry","Long historical factor samples","Equity factors; carry","No trend signal","Scale factor exposure by lagged variance","Core treatment","Time-varying exposure normalized ex post","Turnover discussed","Spanning regressions and utility tests","Volatility management often raises Sharpe and alpha","Expected returns do not rise proportionally with variance","Not cross-asset trend allocation","Establishes allocation channel but not trend component breaks","PARTIAL"
L07,"Cederburg, O'Doherty, Wang & Yan (2020), On the Performance of Volatility-Managed Portfolios","Journal of Financial Economics, peer reviewed","Are volatility-managed gains robust in real time?","103 equity strategies","Long US samples with real-time tests","Equity strategies","None","Volatility-managed factor exposure","Core treatment","Real-time combinations","Turnover considered","Sharpe tests; spanning; structural-break analysis","No systematic OOS improvement; relations are unstable","Unstable spanning coefficients and weights","Not TSMOM or cross-asset","Direct precedent for allocation instability","YES"
L08,"Daniel & Moskowitz (2016), Momentum Crashes","Journal of Financial Economics, peer reviewed","When and why does momentum crash?","US and international equities plus robustness","Long equity histories","Cross-sectional equity momentum","Winner-minus-loser","Dynamic hedging variants","Risk-managed variants","Costs not primary","Conditional regressions and state analysis","Crashes occur after declines and during sharp rebounds","Optionality-like loser exposure and changing beta","Primarily cross-sectional momentum","Makes generic rebound explanation non-novel","PARTIAL"
L09,"Liu & Papailias (2023), Time Series Reversal in Trend-Following Strategies","European Financial Management, peer reviewed","When does TSMOM reverse?","55 liquid futures","1985-2015","Four futures sectors","Trend signals by formation horizon","Long/short subportfolio decomposition","Standard risk scaling","Scaled futures","Not primary","Horizon and sell/buy subportfolio tests","12-24 month reversal mainly from sell-signal losers","Delayed overreaction","Longer horizon than Candidate 1","Very close evidence on negative-signal reversal","YES"
L10,"Baltas & Kosowski (2013/2021), Momentum Strategies in Futures Markets and Trend-Following Funds","Working paper","How closely do CTAs load on TSMOM and is capacity binding?","Broad futures and CTA indexes","Multiple decades","Global futures","Multiple TSMOM benchmarks","Diversified futures portfolios and CTA regressions","Multiple estimators","Risk targeted","Capacity and costs discussed","Time-series regressions and capacity tests","TSMOM explains CTA returns; little capacity evidence","Managed-futures trend exposure","Working-paper status and many specifications","Portfolio construction implementation precedent","PARTIAL"
L11,"Levine & Pedersen (2016), Which Trend Is Your Friend?","Financial Analysts Journal, peer reviewed","How are trend filters mathematically related?","Futures illustrations","Multiple decades","Global futures","General linear filters","Unified filter representation","Risk-scaled examples","Target-risk portfolios","Discussed conceptually","Mathematical equivalence and empirical illustration","Many filters are weighted past-return representations","Implementation matters more than signal labels","Not a stability test","Constrains novelty of signal engineering","PARTIAL"
L12,"Marshall, Nguyen & Visaltanachoti (2017), Time Series Momentum and Moving Average Trading Rules","Quantitative Finance, peer reviewed","How do TSMOM and moving-average rules differ?","Stock indexes and stocks","Multiple international samples","Equities","TSMOM versus moving average","Long/short trading rules","Not core","Not core","Considered","Rule comparison and return tests","MA often signals earlier; large-stock evidence is weak","Signal timing","Not allocation decomposition","Shows signal timing is already studied","PARTIAL"
L13,"Barroso & Santa-Clara (2015), Momentum Has Its Moments","Journal of Financial Economics, peer reviewed","Can volatility management prevent momentum crashes?","US equity momentum","1927-2011","US stocks","Cross-sectional momentum","Momentum portfolio scaled by predicted risk","Core treatment","Constant-volatility exposure","Turnover compared","Conditional volatility model and performance tests","Risk management reduces crashes and raises Sharpe","Predictable time-varying momentum risk","Cross-sectional rather than TSMOM","Allocation-state interaction is established nearby","PARTIAL"
L14,"Ehsani & Linnainmaa (2022), Factor Momentum and the Momentum Factor","Journal of Finance, peer reviewed","Does momentum arise at factor level?","US and international factors","Long factor samples","Equity factor portfolios","Past factor return","Factor timing and stock momentum comparisons","Some risk normalization","Matched factor portfolios","Not central","Predictive regressions and factor spanning","Factor momentum explains much stock momentum","Autocorrelation in common factors","Different asset and signal domain","Shows common-factor rather than idiosyncratic direction can dominate","PARTIAL"
L15,"Han, Zhou & Zhu (2016), A Trend Factor","Journal of Financial Economics, peer reviewed","Can multiple trend horizons predict stock returns?","US stocks","Long CRSP sample","US equities","Moving averages over multiple horizons","Cross-sectional trend factor","No central volatility scaling","Factor portfolio","Costs and turnover examined","Cross-sectional regressions and factor tests","Trend factor predicts returns and spans reversal/momentum","Information over multiple horizons","Stock cross-section; extensive design choices","Related to direction but not allocation stability","NO"
L16,"McLean & Pontiff (2016), Does Academic Research Destroy Stock Return Predictability?","Journal of Finance, peer reviewed","Do anomalies decay out of sample and after publication?","97 published predictors","1926-2013","US equities","Paper-specific predictors","Paper-specific portfolios","Varies","Varies","Discussed by anomaly","Event-time post-sample/publication tests","Returns decline out of sample and after publication","Statistical bias and investor learning","Not trend-specific","Motivates decay tests but does not answer components","PARTIAL"
